id,name,sex,age,white,degree,work_area,years_of_experience,salary
0,Tim,M,40,False,False,IT,2,46.27
1,Steve,M,30,True,True,IT,6,85.79
2,Clara,F,35,True,False,Transport,17,37.34
3,Tim,M,50,True,False,IT,11,71.53
4,Mark,M,48,False,False,IT,5,50.17
5,John,M,50,True,False,Cleaning,29,57.08
6,Carlos,M,58,False,False,Cleaning,34,54.59
7,John,M,31,True,True,IT,12,57.19
8,Paula,F,61,True,False,Cleaning,30,36.01
9,Jessica,F,56,False,False,Transport,25,37.49
10,Mark,M,59,True,False,Transport,35,55.62
11,Steve,M,63,False,False,Transport,12,60.24
12,Paula,F,54,True,True,Health,24,67.69
13,Jessica,F,48,True,False,Transport,0,32.68
14,Maria,F,55,True,False,Transport,17,35.11
15,Tim,M,61,True,True,Education,20,32.36
16,Clara,F,50,True,False,Transport,9,33.5
17,Elisabeth,F,50,True,True,IT,18,55.77
18,Maria,F,34,True,True,Education,12,48.84
19,Maria,F,31,False,False,IT,12,41.96
20,Clara,F,33,True,True,Health,2,50.3
21,Clara,F,49,True,True,Health,15,56.74
22,Oscar,M,25,True,False,IT,1,55.73
23,Carlos,M,41,True,True,IT,3,66.79
24,Mark,M,55,False,False,Cleaning,3,21.66
25,Steve,M,58,False,False,Transport,13,63.6
26,Oscar,M,36,False,True,Education,8,37.81
27,Elisabeth,F,51,False,False,IT,18,50.23
28,Clara,F,48,False,True,Education,14,44.48
29,Oscar,M,58,True,False,IT,30,69.93
30,Mark,M,59,True,False,Transport,0,31.6
31,Maria,F,56,False,True,IT,17,61.5
32,Paula,F,37,False,True,Education,4,38.9
33,Steve,M,21,False,True,IT,2,58.01
34,Tim,M,43,False,False,Cleaning,6,48.86
35,Steve,M,59,True,False,Cleaning,40,26.64
36,Elisabeth,F,64,False,True,IT,14,53.35
37,Maria,F,53,False,False,Transport,26,37.48
38,Tim,M,32,False,True,IT,0,48.74
39,Clara,F,41,True,False,Transport,2,34.82
40,Paula,F,49,True,False,Cleaning,22,37.55
41,Maria,F,33,False,False,Transport,11,35.39
42,Jessica,F,34,False,False,IT,12,51.46
43,Maria,F,62,True,False,Transport,42,41.46
44,Oscar,M,19,True,False,IT,0,45.7
45,Jessica,F,34,True,True,Education,14,49.84
46,John,M,28,False,False,IT,4,49.74
47,John,M,30,True,False,Cleaning,1,26.39
48,Maria,F,34,True,True,IT,7,65.21
49,Tim,M,54,True,False,Cleaning,33,39.1
50,Carlos,M,37,False,False,Cleaning,18,36.36
51,Clara,F,31,True,False,Cleaning,6,16.77
52,Jessica,F,47,True,True,Education,21,52.48
53,Maria,F,24,True,True,Education,5,38.76
54,Tim,M,25,False,False,Cleaning,3,30.76
55,Carlos,M,52,True,True,Health,22,72.58
56,Paula,F,34,True,False,Cleaning,1,26.93
57,Maria,F,42,False,False,Cleaning,19,33.56
58,Tim,M,31,True,False,Cleaning,11,37.2
59,Carlos,M,32,True,True,IT,2,64.51
60,Tim,M,47,True,False,IT,28,63.06
61,Elisabeth,F,26,True,False,IT,4,36.96
62,John,M,36,False,False,Transport,16,56.62
63,Mark,M,47,True,False,Transport,28,47.17
64,Clara,F,49,True,False,Cleaning,7,33.07
65,Tim,M,35,False,True,Health,5,55.38
66,Elisabeth,F,23,False,False,Cleaning,0,33.14
67,Paula,F,36,False,True,Health,0,49.51
68,Oscar,M,38,True,False,Cleaning,19,39.85
69,Oscar,M,57,True,True,IT,1,60.47
70,John,M,29,True,True,IT,11,56.51
71,Maria,F,56,True,False,IT,6,37.38
72,Steve,M,46,True,False,IT,16,34.03
73,Elisabeth,F,40,True,False,Cleaning,9,24.21
74,Mark,M,39,True,False,Cleaning,5,33.5
75,Jessica,F,65,True,False,Cleaning,31,41.67
76,Mark,M,26,False,True,Health,6,43.94
77,Oscar,M,38,True,False,IT,19,54.76
78,Paula,F,45,True,False,IT,3,54.9
79,Tim,M,57,True,True,Health,39,61.73
80,Carlos,M,27,True,True,Education,2,31.41
81,Elisabeth,F,47,False,False,Cleaning,28,26.78
82,Maria,F,49,True,False,Transport,3,31.81
83,Steve,M,24,True,True,Health,3,76.58
84,Elisabeth,F,36,True,True,Education,5,51.91
85,Oscar,M,41,False,True,IT,17,64.34
86,Elisabeth,F,42,False,True,Health,19,56.4
87,Paula,F,55,False,True,Education,37,48.72
88,Tim,M,22,False,True,Health,3,21.17
89,Paula,F,54,False,False,IT,33,63.93
90,Steve,M,19,True,False,IT,1,59.28
91,Carlos,M,35,True,True,Health,8,55.16
92,Clara,F,18,False,False,Cleaning,0,26.71
93,Maria,F,36,True,True,IT,15,66.22
94,Jessica,F,28,True,True,Education,0,45.31
95,Clara,F,32,True,True,Education,3,44.2
96,Maria,F,48,False,False,Transport,2,34.67
97,Clara,F,54,True,True,IT,20,59.49
98,Steve,M,32,False,False,Transport,13,34.49
